sno,sna,sarea,mday,ar,sareaen,snaen,aren,act,srcUpdateTime,updateTime,infoTime,infoDate,total,available_rent_bikes,latitude,longitude,available_return_bikes
500101001,YouBike2.0_捷運科技大樓站,大安區,2025-02-09 14:45:17,復興南路二段235號前,Daan Dist.,YouBike2.0_MRT Technology Bldg. Sta.,No.235， Sec. 2， Fuxing S. Rd.,1,2025-02-09 14:45:25,2025-02-09 14:45:52,2025-02-09 14:45:17,2025-02-09,28,5,25.02605,121.5436,23
500101002,YouBike2.0_復興南路二段273號前,大安區,2025-02-09 14:44:15,復興南路二段273號西側,Daan Dist.,YouBike2.0_No.273， Sec. 2， Fuxing S. Rd.,No.273， Sec. 2， Fuxing S. Rd. (West),1,2025-02-09 14:45:25,2025-02-09 14:45:52,2025-02-09 14:44:15,2025-02-09,21,6,25.02565,121.54357,13
500101003,YouBike2.0_國北教大實小東側門,大安區,2025-02-09 14:21:16,和平東路二段96巷7號,Daan Dist.,YouBike2.0_NTUE Experiment Elementary School (East),No. 7， Ln. 96， Sec. 2， Heping E. Rd,1,2025-02-09 14:45:25,2025-02-09 14:45:52,2025-02-09 14:21:16,2025-02-09,16,0,25.02429,121.54124,16
500101004,YouBike2.0_和平公園東側,大安區,2025-02-09 14:41:16,和平東路二段118巷33號,Daan Dist.,YouBike2.0_Heping Park (East),No. 33， Ln. 118， Sec. 2， Heping E. Rd,1,2025-02-09 14:45:25,2025-02-09 14:45:52,2025-02-09 14:41:16,2025-02-09,11,2,25.02351,121.54282,9
500101005,YouBike2.0_辛亥復興路口西北側,大安區,2025-02-09 14:39:27,復興南路二段368號,Daan Dist.,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),No. 368， Sec. 2， Fuxing S. Rd.,1,2025-02-09 14:45:25,2025-02-09 14:45:52,2025-02-09 14:39:27,2025-02-09,16,5,25.02153,121.54299,11
500101006,YouBike2.0_復興南路二段280號前,大安區,2025-02-09 14:41:15,復興南路二段280號,Daan Dist.,YouBike2.0_No. 280， Sec. 2， Fuxing S. Rd.,No. 280， Sec. 2， Fuxing S. Rd.,1,2025-02-09 14:45:25,2025-02-09 14:45:52,2025-02-09 14:41:15,2025-02-09,27,3,25.02429,121.54328,24
500101007,YouBike2.0_復興南路二段340巷口,大安區,2025-02-09 14:35:20,復興南路二段342號,Daan Dist.,YouBike2.0_Ln. 340， Sec. 2， Fuxing S. Rd.,No. 342， Sec. 2， Fuxing S. Rd.,1,2025-02-09 14:45:25,2025-02-09 14:45:52,2025-02-09 14:35:20,2025-02-09,11,6,25.02253,121.54326,5
500101008,YouBike2.0_新生南路三段52號前,大安區,2025-02-09 14:41:16,新生南路三段52號,Daan Dist.,YouBike2.0_No. 52， Sec. 3， Xinsheng S. Rd.,No. 52， Sec. 3， Xinsheng S. Rd.,1,2025-02-09 14:45:25,2025-02-09 14:45:52,2025-02-09 14:41:16,2025-02-09,17,16,25.02112,121.53407,1
500101009,YouBike2.0_新生南路三段66號前,大安區,2025-02-09 14:42:17,新生南路三段66號東側,Daan Dist.,YouBike2.0_No. 66， Sec. 3， Xinsheng S. Rd.,No. 66， Sec. 3， Xinsheng S. Rd. (East),1,2025-02-09 14:45:25,2025-02-09 14:45:52,2025-02-09 14:42:17,2025-02-09,16,9,25.01976,121.53384,7
500101010,YouBike2.0_新生南路三段82號前,大安區,2025-02-09 14:44:16,新生南路三段82號,Daan Dist.,YouBike2.0_No. 82， Sec. 3， Xinsheng S. Rd.,No. 82， Sec. 3， Xinsheng S. Rd.,1,2025-02-09 14:45:25,2025-02-09 14:45:52,2025-02-09 14:44:16,2025-02-09,20,7,25.01894,121.53361,13
